Stellan Skarsgård
Ione Skye
Charles Martin Smith
Maggie Smith
Steven Soderbergh
Todd Solondz
Barry Sonnenfeld
Timothy Spall
Jill St. John
Harry Dean Stanton
Barbara Stanwyck
Rod Steiger
Howard Stern
Stella Stevens
Patrick Stewart
Ben Stiller
Dean Stockwell
Matt Stone
Tom Stoppard
Peter Stormare
Gloria Stuart
Jeffrey Tambor
Jessica Tandy
Andrei Tarkovsky
Sharon Tate
Robert Taylor
Rod Taylor
Kevin Tighe
John Toll
Rip Torn
Robert Towne
Danny Trejo
Stanley Tucci
Lana Turner
John Turturro
Peter Ustinov
Lee Van Cleef
Dick Van Dyke
Gus Van Sant
Reginald VelJohnson
Robert Wagner
Tom Waits
Andrew Kevin Walker
M. Emmet Walsh
Ray Walston
Melora Walters
David Warner
Sam Waterston
Emily Watson
Carl Weathers
Steven Weber
Peter Weir
Rachel Weisz
George Wendt
James Whale
Forest Whitaker
Richard Widmark
Dianne Wiest
Billy Dee Williams
JoBeth Williams
Treat Williams
Rita Wilson
Thomas F. Wilson
Henry Winkler
Shelley Winters
Alicia Witt
Kari Wuhrer
Michael York
Steve Zahn
Steven Zaillian
Franco Zeffirelli
Catherine Zeta-Jones
Hans Zimmer
David Zucker
Edward Zwick
Maryam d'Abo
Max von Sydow
Lars von Trier
Paul Brickman
Remi Adefarasin
Eric Ambler
Gilbert M. 'Broncho Billy' Anderson
Emile Ardolino
Peggy Ashcroft
Isaac Asimov
Paul Attanasio
Roy Ward Baker
Geoffrey Bayldon
Noah Beery
Marco Beltrami
Peter Benchley
Marisa Berenson
Claude Berri
Charles Bickford
Andrew Birkin
Rubén Blades
Ray Bolger
Peter Boyle
Klaus Maria Brandauer
Ewen Bremner
Emma Bunton
Carter Burwell
Sebastian Cabot
Rory Calhoun
Truman Capote
Marc Caro
Leslie Caron
Leo G. Carroll
Vincent Cassel
Jeff Chandler
Cyd Charisse
Maury Chaykin
Maurice Chevalier
Agatha Christie
Thomas Haden Church
Tom Clancy
Arthur C. Clarke
Lee J. Cobb
Charles Coburn
Richard Conte
Costa-Gavras
Noël Coward
Jeanne Crain
Matt Craven
Broderick Crawford
Hume Cronyn
George Cukor
Michael Curtiz
Jane Darwell
Sammy Davis Jr.
Dean Devlin
Charles Dickens
Roger Donaldson
Stanley Donen
Brian Donlevy
Melvyn Douglas
Irene Dunne
Dan Duryea
Samantha Eggar
Giancarlo Esposito
Mimsy Farmer
Richard Farnsworth
Will Ferrell
Mel Ferrer
Jason Flemyng
Dexter Fletcher
Frederic Forrest
Bob Fosse
Edward Fox
James Franciscus
Carl Franklin
Lucio Fulci
Samuel Fuller
Sidney J. Furie
Michael Gambon
John Garfield
Vittorio Gassman
Judy Geeson
Paulette Goddard
Ruth Gordon
Betty Grable
Gloria Grahame
Paul Guilfoyle
Arsenio Hall
Lasse Hallström
Laurence Harvey
Amy Heckerling
Ernest Hemingway
Paul Henreid
Bernard Herrmann
Arthur Hiller
Judd Hirsch
Celeste Holm
Edward Everett Horton
John Houseman
Trevor Howard
James Wong Howe
Mary Beth Hurt
Betty Hutton
Jack Cardiff
Alfred Abel
Henri Alekan
John A. Alonzo
Ashok Amritraj
Ken Annakin
Malcolm Arnold
Anthony Asquith
Jacques Audiard
Charles Aznavour
John Debney
Roy Webb
Mychael Danna
John Frizzell
Nicholas Musuraca
Gian Maria Volontè
Erich von Stroheim
John Carroll Lynch
Glenn M. Benest
James Bernard
Trevor Jones
Patrick Williams
Declan Quinn
Roger Christian
Allen Coulter
Stuart Gordon
Thomas Newman
John Williams
Charles Van Enger
Christopher Young
David Hare
Giorgio Moroder
Linda Moran
Shannon Elizabeth
Emmy Rossum
Preston Sturges
Mena Suvari
David Price
Anita Loos
Lee Holdridge
Monty Berman
Norman Orenstein
Joe Johnston
Gary Ross
Diane Ladd
George 'Buck' Flower
Robert Kuhn
Jim Denault
Malcolm D. Lee
David L. Bertman
Richard Clabaugh
Arthur K. Flam
Robert C. Jones
Brian Koppelman
Juan José Campanella
Michael Nankin
Ernesto Gastaldi
Romy Schneider
Freddie Young
Wally Pfister
Alexander Skarsgård
Enrique Chediak
Normand Corbeil
Barry Gibb
Shirley Walker
Andrew Stevens
Kevin McCarthy
Richard S. Wright
Dariusz Wolski
Caroline Thompson
Rachel Talalay
Chris Noonan
David Klein
Christopher McQuarrie
Michel Parry
Tim Sullivan
Steve Gainer
Ed Begley
Kenji Mizoguchi
Larry Bock
Jordi Mollà
Mark L. Rosen
Scott Rosenberg
Marc Shaiman
Wolfgang Esenwein
Jeff Freilich
Herbert Marshall
Wedigo von Schultzendorff
Chris Seager
Brian Pearson
George S. Clinton
Lawrence Sher
Timothy Bond
Zane Weiner
David Arnold
Rob Cohen
Hank Mann
Carl Theodor Dreyer
Jonathan Brown
Steven R. Monroe
Troy Miller
Sarah Flack
James Mangold
Ralph Winter
Raúl Dávalos
Philippe Rousselot
Charles Rosher
Maurice Jarre
John Penney
Fred Zinnemann
Kevin Smith
F.W. Murnau
Phedon Papamichael
Graham Yost
Florian Henckel von Donnersmarck
Anastas N. Michos
David Womark
Daniel Attias
Uta Briesewitz
Michael Clarke Duncan
James D. Solomon
Michael Powell
Michael S. Murphey
José Luis Alcaine
Travis Fine
Brian Tyler
Michael Ellis
Frank C. Turner
Toby Jaffe
Brian Cox
Andrew Stanton
László Kovács
Matthew Irving
Eric Alan Edwards
Robert Bolt
Jill Footlick
Aure Atika
Bo Svenson
Bob Kane
Adam Greenberg
Donald E. Thorin
Jacques Tati
Anne Hathaway
Anne Francis
Alex Thomson
Ken Kelsch
George Miller
Shirley Knight
Henning Lohner
Tristan Oliver
Michael Barrett
Tom Wolfe
Franka Potente
Michael Kamen
Wojciech Kilar
Adam Scott
Steven M. Stern
Mark Neveldine
Ed Solomon
Arthur Cohn
Jean-Louis Trintignant
Bruno Ganz
David Copperfield
Walter Murch
Harry Gregson-Williams
Jeff Danna
John Fasano
Ann Kindberg
Harry Keramidas
Marisa Paredes
Phil Alden Robinson
Aaliyah
Mark Addy
Jessica Alba
Giuseppe Andrews
Naveen Andrews
Will Arnett
James Van Der Beek
Camilla Belle
Maria Bello
Lawrence Bender
Wes Bentley
Jessica Biel
Jason Biggs
Selma Blair
David Boreanaz
Adrien Brody
Amanda Bynes
Scott Caan
Mark Canton
Jessica Capshaw
Linda Cardellini
Chris Carter
Jo Champa
Morris Chestnut
Michael Chiklis
Melanie C
China Chow
Eddie Cibrian
Spencer Treat Clark
Stewart Copeland
Penélope Cruz
Kristin Davis
James DeBello
Vin Diesel
Taye Diggs
Eminem
Edie Falco
Oded Fehr
Joely Fisher
Beau Flynn
June Foray
Ben Foster
Jamie Foxx
Jennifer Garner
Adam Goldberg
Brian Grazer
Adrian Grenier
Alyson Hannigan
Andre Harrell
Desmond Harrington
Steve Harris
