# id,beta
1012,1.29103
1013,2.97494
1014,1.02844
1015,1.71675
1016,1.36159
1017,13.12703
1018,4.54266
1019,1.53960
1020,2.23193
1021,2.65474
1022,1.11406
1023,4.64148
1024,1.43109
1025,10.11068
1026,1.46060
1027,2.32887
1028,6.20698
1029,1.75355
1030,20.85198
1031,4.61958
1032,1.08242
1033,5.92381
1034,4.12580
1035,1.91441
1036,1.05517
1037,3.57655
1038,8.32673
1039,1.50202
1040,1.39565
1041,2.21264
1042,4.05565
1043,3.41463
1044,1.78833
1045,1.48619
1046,3.36586
1047,1.02123
1048,1.38012
1049,2.44011
1050,2.86732
1051,1.14032
1052,1.57686
1053,2.71091
1054,6.18663
1055,1.65575
1056,2.06290
1057,1.54796
1058,3.61844
1059,1.05179
1060,1.47943
1061,2.04166
1062,3.19082
1063,1.40213
1064,1.27969
1065,3.68865
1066,9.12209
1067,3.37761
1068,1.73932
1069,4.61079
1070,4.31436
1071,2.65229
1072,1.18019
1073,2.22885
1074,3.04553
1075,1.20582
1076,1.48482
1077,3.48734
1078,3.39257
1079,1.11536
1080,1.93894
1081,2.45816
1082,3.78127
1083,1.29982
1084,1.28908
1085,5.13987
1086,15.88613
1087,1.65061
1088,1.67624
1089,1.68891
1090,3.12602
1091,1.20806
1092,1.31651
1093,2.60584
1094,1.64334
1095,1.08654
1096,1.57970
1097,10.07842
1098,12.69052
1099,1.89765
1100,1.75948
1101,1.82061
1102,3.46940
1103,1.50548
1104,1.38699
1105,1.35623
1106,1.01636
1107,1.97680
1108,1.35116
1109,2.26320
1110,2.91548
1111,1.38849
1112,1.46710
1113,1.38529
1114,48.76393
1115,21.95252
1116,1.00274
1117,12.77464
1118,16.58633
1119,6.81661
1120,1.17140
1121,3.21180
1122,1.40314
1123,4.64285
1124,2.08723
1125,1.18110
1126,1.77003
1127,10.53156
1128,1.30462
1129,5.08534
1130,1.33377
1131,4.47072
1132,1.94705
1133,1.23209
1134,1.72538
1135,1.78741
1136,1.09809
1137,2.84068
1138,3.89154
1139,5.17006
1140,1.21390
1141,2.18989
1142,2.96430
1143,1.74797
1144,1.11179
1145,2.37770
1146,2.62971
1147,1.87469
1148,1.63884
1149,1.75470
1150,3.75332
1151,1.18895
1152,1.43427
1153,7.90899
1154,1.02407
1155,1.63770
1156,1.31266
1157,3.55150
1158,3.30952
1159,1.54708
1160,2.77756
1161,2.34296
1162,1.00831
1163,207.66991
1164,2.17160
1165,3.00239
1166,3.76409
1167,1.70904
1168,1.74407
1169,3.78146
1170,4.08218
1171,2.12273
1172,2.16493
1173,2.00348
1174,1.01265
1175,3.00951
1176,1.01050
1177,5.81186
1178,1.02221
1179,1.53350
1180,1.53976
1181,2.38287
1182,3.42955
1183,1.20424
1184,1.64156
1185,2.01942
1186,5.47552
1187,1.87173
1188,1.50636
1189,2.38405
1190,2.09499
1191,3.35391
1192,1.38835
1193,3.73485
1194,3.86139
1195,1.59007
1196,1.69724
1197,1.30235
1198,1.00655
1199,6.46841
1200,1.05865
1201,4.30779
1202,1.04410
1203,11.11483
1204,1.84833
1205,2.71332
1206,4.66870
1207,1.64280
1208,1.59647
1209,1.00701
1210,1.00356
1211,12.61837
1212,1.00461
1213,3.13010
1214,2.07427
1215,1.46835
1216,1.31625
1217,2.75489
1218,5.41077
1219,3.15164
1220,1.17655
1221,1.00822
1222,1.01334
1223,1.99640
1224,1.00520
1225,8.17000
1226,3.64559
1227,35.13421
1228,3.10277
1229,2.78783
1230,4.67090
1231,5.47330
1232,1.54894
1233,2.12260
1234,3.23175
1235,1.28311
1236,1.28711
1237,1.59529
1238,1.47727
1239,1.09378
1240,1.16012
1241,3.49479
1242,5.38263
1243,2.10410
1244,1.52607
1245,2.75677
1246,3.87178
1247,2.20834
1248,1.71098
1249,3.17045
1250,63.60665
1251,6.36185
1252,2.11790
1253,1.00461
1254,3.39965
1255,3.03753
1256,1.01370
1257,3.50724
1258,7.56763
1259,4.69055
1260,1.55368
1261,2.27215
1262,7.82485
1263,6.32212
1264,1.71512
1265,2.82735
1266,3.24060
1267,2.84269
1268,1.47987
1269,1.92681
1270,2.76714
1271,2.45490
1272,1.44049
1273,2.31975
1274,10.87660
1275,1.23606
1276,1.27450
1277,1.66584
1278,1.55652
1279,1.06851
1280,1.35946
1281,2.07127
1282,2.93023
1283,1.60549
1284,1.50238
1285,1.31990
1286,1.55531
1287,2.66292
1288,1.18253
1289,2.42584
1290,7.24888
1291,3.39821
1292,1.42805
1293,7.12562
1294,6.59659
1295,5.28643
1296,1.80952
1297,1.16636
1298,1.01986
1299,11.30921
1300,1.78432
1301,3.55137
1302,3.93207
1303,3.92413
1304,1.46722
1305,2.06493
1306,2.92123
1307,3.74762
1308,1.17908
1309,4.91950
1310,7.86599
1311,4.18832
1312,1.68878
1313,1.77259
1314,3.23029
1315,4.63297
1316,1.42934
1317,1.58892
1318,1.80640
1319,1.38002
1320,1.40809
1321,1.48999
1322,3.21053
1323,2.88555
1324,1.38830
1325,1.42542
1326,2.77764
1327,1.44986
1328,1.31271
1329,1.31113
1330,1.33819
1331,1.10609
1332,1.35695
1333,2.16379
1334,2.73781
1335,1.88710
1336,1.33317
1337,1.76297
1338,3.55378
1339,1.06346
1340,1.70506
1341,1.58857
1342,2.44891
1343,1.00100
1344,1.62909
1345,3.23171
1346,3.54298
1347,3.22715
1348,1.20209
1349,1.87540
1350,2.67056
1351,1.11760
1352,1.43944
1353,1.49777
1354,1.91076
1355,1.38486
1356,1.40777
1357,1.69629
1358,1.19531
1359,0.99228
1360,1.02169
1361,2.26585
1362,2.65442
1363,1.69353
1364,1.54277
1365,1.67965
1366,2.38361
1367,1.29236
1368,1.16377
1369,3.01362
1370,5.44513
1371,1.13348
1372,1.31611
1373,2.57162
1374,3.78832
1375,1.55354
1376,1.26170
1377,2.67247
1378,5.85480
1379,2.45829
1380,1.18668
1381,2.02709
1382,2.54393
1383,1.91048
1384,1.90559
1385,1.70005
1386,2.72047
1387,3.63421
1388,1.59789
1389,2.83492
1390,3.09877
1391,1.45948
1392,1.51775
1393,2.12149
1394,4.26482
1395,1.31389
1396,2.21167
1397,1.40985
1398,2.44090
1399,1.24067
1400,1.14268
1401,3.30877
1402,6.93265
1403,1.24676
1404,1.58482
1405,3.11607
1406,5.85706
1407,1.42423
1408,1.49921
1409,1.91855
1410,2.96991
1411,1.06610
1412,2.08218
1413,2.30198
1414,6.16128
1415,2.82230
1416,1.59430
1417,4.52564
1418,13.21789
1419,2.46260
1420,1.82202
1421,2.23973
1422,8.41307
1423,2.22047
1424,1.50441
1425,3.11393
1426,3.78001
1427,1.95116
1428,1.88879
1429,2.31243
1430,6.90427
1431,2.97244
1432,1.72260
1433,2.19709
1434,2.34385
1435,1.20914
1436,1.65958
1437,2.88486
1438,5.09797
1439,1.54310
1440,2.34385
1441,2.48041
1442,3.12250
1443,1.36444
1444,1.48436
1445,6.48916
1446,12.41586
1447,1.68918
1448,1.45797
1449,2.25745
1450,65.94442
1451,3.75529
1452,1.18687
1453,11.01008
1454,1.69798
1455,2.34510
1456,1.47090
1457,2.12199
1458,4.48318
1459,1.35269
1460,1.63393
1461,3.72487
1462,8.24394
1463,2.04665
1464,2.21118
1465,2.06566
1466,1.60443
1467,1.63739
1468,1.26730
1469,2.21521
1470,5.87516
1471,1.36134
1472,1.64703
1473,2.70093
1474,4.49453
1475,1.55087
1476,1.40249
1477,3.42216
1478,3.38538
1479,1.36408
1480,1.24078
1481,4.84404
1482,2.76493
1483,1.27648
1484,1.90766
1485,5.30995
1486,5.84300
1487,4.73628
1488,1.67198
1489,1.85012
1490,2.37872
1491,3.13091
1492,1.89318
1493,1.83485
1494,1.99967
1495,0.98328
1496,1.65282
1497,9.28064
1498,8.60093
1499,8.02862
1500,2.86185
1501,3.60030
1502,2.16956
1503,2.95929
1504,1.16715
1505,1.31058
1506,2.89788
1507,1.11111
1508,1.48853
1509,1.77240
1510,4.59598
1511,3.61823
1512,1.36627
1513,5.39114
1514,2.49265
1515,1.32829
1516,1.88633
1517,2.47073
1518,5.21859
1519,1.20253
1520,1.66517
1521,6.02006
1522,3.37002
1523,3.33050
1524,1.34641
1525,1.37205
1526,2.40056
1527,1.14384
1528,1.83709
1529,1.76977
1530,2.32631
1531,2.16117
1532,1.24696
1533,1.68335
1534,1.80569
1535,1.41317
1536,1.72880
1537,5.38507
1538,3.06574
1539,3.80290
1540,2.61866
1541,1.77072
1542,1.64109
1543,2.63344
1544,2.95830
1545,2.26155
1546,4.90263
