2920 58 58 3
37 29 [0.1467706  0.42258262 0.43064678] 
37 30 [0.05606198 0.45991237 0.48402565] 
37 31 [0.08102713 0.45779647 0.4611764 ] 
32 28 [0.18772652 0.40871806 0.40355542] 
32 29 [0.0, 0.0, 0.0] 
32 30 [0.14833471 0.46014367 0.39152161] 
32 31 [0.1948966  0.40586063 0.39924277] 
33 28 [0.043815   0.47073683 0.48544818] 
33 29 [0.0, 0.0, 0.0] 
33 30 [0.10606895 0.43473056 0.45920049] 
33 31 [0.03868254 0.47675155 0.48456591] 
34 28 [0.04675256 0.47111536 0.48213208] 
34 29 [0.0, 0.0, 0.0] 
34 30 [0.0, 0.0, 0.0] 
34 31 [0.08305909 0.45597138 0.46096953] 
21 28 [0.0, 0.0, 0.0] 
21 29 [0.12380762 0.41680501 0.45938737] 
21 30 [0.0, 0.0, 0.0] 
21 31 [0.0, 0.0, 0.0] 
15 28 [0.0, 0.0, 0.0] 
15 29 [0.0, 0.0, 0.0] 
15 30 [0.21899595 0.427334   0.35367005] 
15 31 [0.0, 0.0, 0.0] 
16 32 [0.13900673 0.4423465  0.41864678] 
16 33 [0.0, 0.0, 0.0] 
16 34 [0.09219909 0.4315586  0.47624231] 
16 35 [0.0, 0.0, 0.0] 
17 32 [0.20296072 0.38754146 0.40949783] 
17 33 [0.0, 0.0, 0.0] 
17 34 [0.06339746 0.45728548 0.47931707] 
17 35 [0.0, 0.0, 0.0] 
38 32 [0.0, 0.0, 0.0] 
38 33 [0.12399677 0.40734219 0.46866104] 
38 34 [0.10929214 0.4268907  0.46381716] 
38 35 [0.0638383 0.4518409 0.4843208] 
39 32 [0.18816695 0.4815133  0.33031975] 
39 33 [0.22126581 0.41384553 0.36488866] 
39 34 [0.17292885 0.43362152 0.39344963] 
39 35 [0.26984703 0.43571887 0.2944341 ] 
12 32 [0.22139104 0.39227393 0.38633504] 
12 33 [0.0, 0.0, 0.0] 
12 34 [0.20880886 0.41726684 0.3739243 ] 
12 35 [0.19850976 0.4386667  0.36282354] 
5 32 [0.18506517 0.41674947 0.39818536] 
5 33 [0.0, 0.0, 0.0] 
5 34 [0.36253698 0.36675661 0.27070641] 
5 35 [0.0, 0.0, 0.0] 
36 32 [0.72837994 0.21730714 0.05431292] 
36 33 [0.15594415 0.4313416  0.41271425] 
36 34 [0.10089249 0.44079756 0.45830995] 
36 35 [0.0, 0.0, 0.0] 
26 32 [0.0, 0.0, 0.0] 
26 33 [0.0, 0.0, 0.0] 
26 34 [0.0, 0.0, 0.0] 
26 35 [0.16176523 0.43910128 0.39913349] 
40 32 [0.28101415 0.45018712 0.26879873] 
40 33 [0.0, 0.0, 0.0] 
40 34 [0.07984203 0.44533782 0.47482015] 
40 35 [0.2005668  0.40929968 0.39013352] 
7 32 [0.2997641  0.46127673 0.23895917] 
7 33 [0.0, 0.0, 0.0] 
7 34 [0.28322471 0.39006258 0.32671271] 
7 35 [0.08542689 0.42452265 0.49005046] 
9 36 [0.23093425 0.43575702 0.33330873] 
9 37 [0.0, 0.0, 0.0] 
9 38 [0.0, 0.0, 0.0] 
9 39 [0.04972787 0.46526546 0.48500667] 
41 36 [0.0, 0.0, 0.0] 
41 37 [0.0, 0.0, 0.0] 
41 38 [0.26311881 0.38616212 0.35071907] 
41 39 [0.0, 0.0, 0.0] 
17 36 [0.06404513 0.45265454 0.48330033] 
17 37 [0.0, 0.0, 0.0] 
17 38 [0.0, 0.0, 0.0] 
17 39 [0.0, 0.0, 0.0] 
0 36 [0.21741204 0.4616276  0.32096036] 
0 37 [0.18016591 0.4839771  0.335857  ] 
0 38 [0.13853827 0.41510056 0.44636117] 
0 39 [0.0, 0.0, 0.0] 
28 36 [0.0, 0.0, 0.0] 
28 37 [0.17236043 0.41663668 0.41100289] 
28 38 [0.2451616  0.56420558 0.19063282] 
28 39 [0.19798585 0.40989684 0.39211731] 
1 36 [0.0, 0.0, 0.0] 
1 37 [0.35625107 0.43124309 0.21250584] 
1 38 [0.15774073 0.43050127 0.411758  ] 
1 39 [0.10091267 0.42225423 0.4768331 ] 
30 36 [0.13637138 0.42126288 0.44236574] 
30 37 [0.17438567 0.43774486 0.38786947] 
30 38 [0.12750569 0.43051577 0.44197854] 
30 39 [0.07918072 0.44103612 0.47978316] 
11 36 [0.34037662 0.47356733 0.18605605] 
11 37 [0.0, 0.0, 0.0] 
11 38 [0.11534854 0.42607227 0.45857919] 
11 39 [0.0, 0.0, 0.0] 
39 36 [0.08309553 0.45964261 0.45726187] 
39 37 [0.0, 0.0, 0.0] 
39 38 [0.11115541 0.40727478 0.48156981] 
39 39 [0.05647815 0.4684392  0.47508265] 
3 36 [0.0, 0.0, 0.0] 
3 37 [0.0, 0.0, 0.0] 
3 38 [0.0, 0.0, 0.0] 
3 39 [0.16703519 0.41400668 0.41895813] 
23 36 [0.16968055 0.4080594  0.42226005] 
23 37 [0.0, 0.0, 0.0] 
23 38 [0.11151187 0.42608827 0.46239986] 
23 39 [0.0, 0.0, 0.0] 
35 36 [0.09945847 0.43947625 0.46106529] 
35 37 [0.0, 0.0, 0.0] 
35 38 [0.07847177 0.44521457 0.47631366] 
35 39 [0.19213938 0.44104286 0.36681775] 
20 36 [0.0, 0.0, 0.0] 
20 37 [0.08955165 0.4378543  0.47259405] 
20 38 [0.10942726 0.44397697 0.44659576] 
20 39 [0.0, 0.0, 0.0] 
33 36 [0.38186102 0.42976881 0.18837017] 
33 37 [0.0, 0.0, 0.0] 
33 38 [0.22329863 0.44415368 0.33254769] 
33 39 [0.52934026 0.32864698 0.14201275] 
7 36 [0.0, 0.0, 0.0] 
7 37 [0.0, 0.0, 0.0] 
7 38 [0.0554266  0.46188501 0.48268839] 
7 39 [0.0, 0.0, 0.0] 
8 36 [0.68321112 0.25305434 0.06373454] 
8 37 [0.0, 0.0, 0.0] 
8 38 [0.12260472 0.43929289 0.43810239] 
8 39 [0.13182315 0.43268179 0.43549505] 
27 36 [0.06213173 0.4526696  0.48519867] 
27 37 [0.0, 0.0, 0.0] 
27 38 [0.0, 0.0, 0.0] 
27 39 [0.0, 0.0, 0.0] 
17 40 [0.0, 0.0, 0.0] 
17 41 [0.0, 0.0, 0.0] 
17 42 [0.23445909 0.41869943 0.34684148] 
17 43 [0.05059043 0.46492662 0.48448295] 
0 40 [0.2135842  0.42947571 0.35694009] 
0 41 [0.33572861 0.4308859  0.23338549] 
0 42 [0.24324814 0.4125023  0.34424956] 
0 43 [0.0, 0.0, 0.0] 
1 40 [0.0, 0.0, 0.0] 
1 41 [0.0, 0.0, 0.0] 
1 42 [0.18443344 0.42662266 0.3889439 ] 
1 43 [0.08863855 0.44760838 0.46375308] 
11 40 [0.0, 0.0, 0.0] 
11 41 [0.0, 0.0, 0.0] 
11 42 [0.13089725 0.43001199 0.43909076] 
11 43 [0.09729073 0.44455735 0.45815192] 
5 40 [0.0, 0.0, 0.0] 
5 41 [0.0, 0.0, 0.0] 
5 42 [0.22728418 0.44734942 0.3253664 ] 
